6209	5502	0.886	11.011	<subj>_ActVp:POS__RECEIVED
5794	5162	0.891	10.988	ActVp_<dobj>:POS__RECEIVED
1869	1746	0.934	10.061	ActVp_Prep_<NP>:POS__FOLLOWED_BY
1759	1621	0.922	9.826	infinitive_verb_<dobj>:POS__RECEIVE
2538	2234	0.880	9.793	ActVp_<dobj>:POS__GROUP
1200	1136	0.947	9.608	<subj>_PassVp:POS__GIVEN
2090	1832	0.877	9.501	<subj>_PassVp:POS__RANDOMIZED
1971	1724	0.875	9.404	<subj>_PassVp:POS__ASSIGNED
2314	1946	0.841	9.189	<subj>_ActVp:POS__GROUP
1575	1385	0.879	9.177	<subj>_PassVp:POS__ADMINISTERED
586	578	0.986	9.050	<subj>_PassVp:POS__INDUCED
630	615	0.976	9.044	Np_Prep_<NP>:POS__INFUSION_OF
2348	1916	0.816	8.898	<subj>_ActVp:POS__FOLLOWED
615	591	0.961	8.848	Np_Prep_<NP>:POS__MG_OF
623	595	0.955	8.803	<subj>_PassInfVp:POS__ASSIGNED_RECEIVE
666	630	0.946	8.797	<subj>_PassInfVp:POS__RANDOMIZED_RECEIVE
945	853	0.903	8.789	Np_Prep_<NP>:POS__DOSE_OF
539	520	0.965	8.704	Np_Prep_<NP>:POS__WEEK_FOR
585	558	0.954	8.703	PassInfVp_<dobj>:POS__RANDOMIZED_RECEIVE
534	515	0.964	8.688	<subj>_PassVp:POS__PLACED
453	445	0.982	8.642	Np_Prep_<NP>:POS__ML_OF
544	519	0.954	8.605	PassInfVp_<dobj>:POS__ASSIGNED_RECEIVE
539	511	0.948	8.530	Np_Prep_<NP>:POS__MG_FOR
779	699	0.897	8.479	ActVp_Prep_<NP>:POS__RECEIVED_FOR
1179	999	0.847	8.443	PassVp_Prep_<NP>:POS__TREATED_WITH
1582	1292	0.817	8.441	<subj>_PassVp:POS__TREATED
544	509	0.936	8.413	Np_Prep_<NP>:POS__INJECTION_OF
485	452	0.932	8.220	Np_Prep_<NP>:POS__PLACEBO_FOR
1068	894	0.837	8.207	PassVp_Prep_<NP>:POS__ASSIGNED_TO
